,0,1,2,3,passive,noise,value,trend
137,0.0,1.0,38.0,61.0,,-0.0018502167739582465,-0.001856717707473865,0.0011887745812750872
138,0.0,1.0,39.0,60.0,,-0.0016446873083354463,-0.001642100029700888,0.0010962679141162113
139,0.0,1.0,40.0,59.0,,-0.0014821601495681458,-0.0014748945450319129,0.0010263246402408832
140,0.0,1.0,41.0,58.0,,-0.0012907163847506453,-0.0012413299071164507,0.0009007037423183206
141,0.0,1.0,42.0,57.0,,-0.0012122359589837872,-0.0011539799706333786,0.0008724457104656302
142,0.0,1.0,43.0,56.0,,-0.0010703210006071107,-0.0009901603590359853,0.0007800990260544705
143,0.0,1.0,44.0,55.0,,-0.0009005155162506995,-0.0008203108134950954,0.0006731195063891526
144,0.0,1.0,45.0,54.0,,-0.0008253038780567934,-0.0007403977586638577,0.000632711395855523
145,0.0,1.0,46.0,53.0,,-0.0007929647291828879,-0.0006479993271480966,0.0005777252989862536
146,0.0,1.0,47.0,52.0,,-0.00070704693068524,-0.0004824104222779235,0.00044982784069214077
147,0.0,1.0,48.0,51.0,,-0.00047024733060607726,-0.0002287392249784581,0.0002245526539796927
148,0.0,1.0,49.0,50.0,,-0.0003323760005432552,-9.691257438326772e-06,1.6143267207002765e-05
149,0.0,1.0,50.0,49.0,,-0.0002760318162656761,0.00021565320580263503,-0.00021437672143542752
150,0.0,1.0,51.0,48.0,,-0.00023368655373900982,0.0004160440925391473,-0.0004369945394487873
151,0.0,1.0,52.0,47.0,,-0.00030138182832006866,0.0005623572120578846,-0.0006154100940293228
152,0.0,1.0,53.0,46.0,,-0.0003811502176914727,0.000644849978394868,-0.0007341893520165232
153,0.0,1.0,54.0,45.0,,-0.00047177100972473074,0.0007709465960830109,-0.00091388337320919
154,0.0,1.0,55.0,44.0,,-0.0005652266402267347,0.0009033590072426989,-0.0011152271980048312
155,0.0,1.0,56.0,43.0,,-0.0006441171056548178,0.001015663336465522,-0.0013062275441790838
156,0.0,1.0,57.0,42.0,,-0.0007282516341009515,0.001112631770740613,-0.0014907182584866785
157,0.0,1.0,58.0,41.0,,-0.0008416562809667738,0.001200304329062707,-0.0016750503241247383
158,0.0,1.0,59.0,40.0,,-0.000946642154786792,0.001270663056773813,-0.0018476735607665384
159,0.0,1.0,60.0,39.0,,-0.0010564860084772976,0.0013347281359599172,-0.0020229312407303857
